Student_ID,Gender,Study_Hours,Attendance,Previous_Score,Sleep_Hours,Final_Score
S092,Male,2.9,78.4,66.5,6.6,35.0
S093,Male,3.9,91.5,94.7,6.6,51.3
S094,Male,5.5,96.5,66.2,6.4,35.0
S095,Male,6.4,85.6,64.6,8.0,41.4
S096,Male,5.4,87.8,64.3,8.0,35.7
S097,Male,7.0,75.7,60.2,8.4,35.0
S098,Male,9.1,90.8,63.3,8.0,54.5
S099,Male,3.9,87.5,52.8,5.4,35.0
S100,Female,4.1,74.9,67.7,7.3,35.0
S101,Female,1.9,64.1,70.7,5.9,35.0
S102,Male,6.6,69.8,42.6,,35.0
S103,Male,6.8,75.3,68.8,7.2,51.5
S104,Male,2.9,93.6,70.5,7.8,35.7
S105,Male,5.6,97.5,76.2,6.1,37.9
S106,Male,6.7,77.6,84.5,4.7,45.1
S107,Male,4.9,77.9,80.2,7.2,44.5
S108,Male,6.0,84.6,62.6,9.6,43.0
S109,Male,4.8,82.1,61.2,6.8,35.0
S110,Female,2.3,91.3,77.0,7.0,40.7
S111,Male,6.4,76.8,63.4,8.8,35.0
S112,Female,6.9,91.5,55.3,7.6,45.4
S113,Male,5.8,79.6,98.0,7.2,46.3
S114,Male,2.8,90.5,66.3,7.4,35.0
S115,Female,3.1,79.3,62.5,7.3,35.0
S116,Male,2.5,75.9,43.7,5.9,35.0
S117,Female,5.9,100.0,80.2,5.7,52.7
S118,Male,6.8,92.7,58.1,8.9,44.9
S119,Male,5.3,64.1,70.3,7.2,42.0
S120,Female,6.2,77.5,81.6,7.1,
S121,Male,2.9,94.0,58.3,6.9,35.0
S122,Female,4.8,70.0,71.0,7.8,39.4
S123,Male,2.0,89.7,88.3,9.5,35.0
S124,Female,3.1,88.7,40.5,7.5,35.0
S125,Female,6.1,75.0,60.3,6.4,39.3
S126,Male,4.1,81.9,59.1,6.9,35.0
S127,Male,6.7,61.1,67.8,8.1,40.6
S128,Female,5.5,99.7,69.4,6.4,42.0
S129,Male,9.4,78.9,57.3,7.9,50.6
S130,Male,4.7,90.0,62.1,4.7,35.0
S131,Male,2.0,88.1,60.7,6.8,35.0
S132,Female,4.4,95.6,65.8,7.6,42.7
S133,Female,2.8,77.7,72.6,8.3,35.0
S134,Female,6.3,84.0,80.9,6.2,49.4
S135,Female,4.6,87.6,82.7,5.5,38.0
S136,Female,4.3,90.7,77.8,6.7,48.1
S137,Female,4.3,93.5,59.5,5.9,35.0
S138,Female,5.8,77.2,70.0,6.9,40.2
S139,Female,3.7,75.4,98.0,7.0,48.0
S140,Female,5.9,95.6,82.2,5.7,38.9
S141,Male,6.4,61.6,64.7,7.8,35.0
S142,Female,3.9,97.7,89.0,6.8,52.4
S143,Male,2.8,79.0,65.3,8.1,35.0
S144,Male,3.6,82.0,62.0,5.2,35.0
S145,Male,5.8,75.2,86.7,6.0,39.3
S146,Female,4.7,81.5,54.3,7.5,35.0
S147,Female,5.6,94.7,47.0,6.2,35.6
S148,Female,7.7,89.7,81.3,6.8,52.9
S149,Female,4.9,86.9,70.3,7.0,45.5
S150,Male,3.0,82.9,71.5,7.2,35.0
S013,Female,2.6,96.4,84.4,7.2,35.6
S058,Female,2.7,69.2,88.6,7.4,44.6
